@relation led7digit
@attribute Led1 real [0.0, 1.0]
@attribute Led2 real [0.0, 1.0]
@attribute Led3 real [0.0, 1.0]
@attribute Led4 real [0.0, 1.0]
@attribute Led5 real [0.0, 1.0]
@attribute Led6 real [0.0, 1.0]
@attribute Led7 real [0.0, 1.0]
@attribute Number {0,1,2,3,4,5,6,7,8,9}
@data
0.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0
1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 0
1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0
1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1
0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1
0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1
1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1
1.000000, 0.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 2
1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 2
1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 2
1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 2
0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 3
1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 0.000000, 1.000000, 3
1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 3
1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 3
0.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 4
0.000000, 1.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 4
0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 4
0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 4
0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 4
0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 5
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 5
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 5
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 5
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 5
0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 6
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 6
1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 6
1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 6
1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 6
0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 7
1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 7
1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 7
1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 7
1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 7
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 7
0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 8
1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 8
1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 8
1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 8
0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 9
1.000000, 1.000000, 1.000000, 0.000000, 0.000000, 1.000000, 1.000000, 9
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 9
0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0
1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 0
1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0
1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1
0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1
0.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1
1.000000, 0.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 2
1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 2
1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.000000, 2
1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 2
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.000000, 1.000000, 2
0.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 3
1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 3
1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 3
1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 3
1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 3
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 3
0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 4
0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 4
0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 4
0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 4
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 4
1.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 5
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 5
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 5
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 5
0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 6
1.000000, 1.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 6
1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 6
1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 6
1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 6
0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 7
1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 7
1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 7
1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 7
1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 7
0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 8
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 8
1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 8
1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 8
1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 8
1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 9
1.000000, 1.000000, 1.000000, 0.000000, 0.000000, 1.000000, 1.000000, 9
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 9
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 9
1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 9
0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0
1.000000, 1.000000, 1.000000, 0.000000, 0.000000, 1.000000, 1.000000, 0
1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0
1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0
1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1
0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1
0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1
1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1
0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.000000, 2
1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 0.000000, 1.000000, 2
1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 2
1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 2
1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 2
0.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 3
1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 3
1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 3
1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 3
1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 3
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 3
0.000000, 0.000000, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, 4
0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 4
0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 4
0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 4
0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 4
1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 5
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 5
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 5
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 5
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 5
0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 6
1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 6
1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 6
1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 6
1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 6
0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 7
1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 7
1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 7
1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 7
1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 7
0.000000, 1.000000, 1.000000, 0.000000, 0.000000, 1.000000, 1.000000, 8
1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 8
1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 8
1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 8
0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 9
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.000000, 1.000000, 9
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 9
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 9
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 9
1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.000000, 2
1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 6
1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 6
1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 7
1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 1.000000, 9
1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0
1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 0
0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1
1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 2
1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 3
0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 4
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 5
1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 7
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 9
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 9
0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 0
1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 0
1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 1.000000, 3
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 5
0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 6
1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0
1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.000000, 2
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 3
0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 4
0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 5
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 5
1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 6
1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 7
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 9
0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1
1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1
0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 4
1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 6
1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 7
0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 2
0.000000, 1.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 4
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, 9
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 9
0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 2
1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 3
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 3
1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 8
1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 8
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 9
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 9
0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 4
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 5
1.000000, 1.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 4
1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 8
